Winner,Leader,Chairman,Power,Close2,Close5,Close10,ItemProxy,UnitemProxy,IEProxy,TotalInd,InState,MajorityPrev,Seat,VAP,CPO,CongYear,ID2,ItemInd,Office,AcceptPACs,LeadershipCom,Leadership,Ecn,Tax,Pri,Egw,Lib,Hsc,Int,Way,Vet,Sta,Bus,Rul,Sci,Tra,Nat,Jud,Adm,Gov,For,Ene,Edu,Bud,Ban,Arm,App,UnitemAgainst,ItemAgainst,UnitemFor,UnitemInd,GeneralTurnout,ReportedTotal,CID,ReportedInd,TotalPACs,ItemPACs,UnitemPACs,PrimaryTurnout,IEAgainst,State,District,FECCandID,Incumbent,Open,CandName,Agr,Party,ItemFor,Primary,IEFor,PrimaryPerc,General,GeneralPerc,party,Challenger,congyear
1,0,0,0,0,0,0,106773,95784,205087,943413,707933,0,1,575115,C,2012,,869193,FL26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,1595,318543,74220,252957,324303,N00029908,984792,271748,121023,150084,26096,2001,FL,26,H8FL25015,0,0,"Garcia, Joe",0,D,47603,13927,368468,.5336833231146541,135694,.536431093031622,1,1,3
0,0,0,0,1,1,1,874022,1014488,3648868,835646,516124,0,0,565352,C,2012,,586524,MI01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415188,1364704,126125,249122,347037,533883,N00032587,704630,492548,197786,292831,100750,2271492,MI,01,H0MI01153,0,0,"McDowell, Gary",0,D,93380,36339,234621,1,165179,.475969421128007,1,1,3
0,0,0,0,0,0,0,227037,209493,457480,1315838,844479,0,0,555465,C,2012,,963179,CO03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10743,327460,352659,347574,480001,N00033279,1114684,475513,207956,266688,82709,1588915,CO,03,H2CO03138,0,0,"Pace, Sal",0,D,59342,33970,428043,1,142920,.411193012135545,1,1,3
0,0,0,0,0,0,0,0,0,2966,1566445,1055039,1,0,549996,C,2010,,1453691,PA15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,18,32175,112754,204548,382277,N00031017,1500357,361373,156013,204335,,239,PA,15,H0PA15101,0,0,"Callahan, John B.",0,D,51958,1,99894,1,79766,.389962258247453,1,1,2
0,0,0,0,0,1,1,0,0,0,366459,299794,0,0,512066,C,2008,,310994,NY24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30574,55465,251692,54298,N00030197,318962,48150,37574,9533,,0,NY,24,H8NY24066,0,0,"Hanna, Richard L.",0,R,53169,1,84100,1,120880,.480269535781829,2,1,1
0,0,0,0,0,0,0,0,0,35,668732,269460,1,0,502125,C,2008,,448247,NJ05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26930,220485,309007,197661,N00029399,634181,183971,92400,91309,35279,0,NJ,05,H8NJ05094,0,0,"Shulman , Dennis ",0,D,57944,9390,85025,.611129189716889,131033,.424045409974531,1,1,1
0,0,0,0,0,0,0,0,0,0,6219,5019,1,0,590886,C,2012,,6219,OR01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331980,1355,N00033652,10763,1000,465,535,91471,0,OR,01,H2OR01190,0,0,"Morgan, Delinda ",0,R,0,18996,0,.563395319868316,109699,.330438580637388,2,1,3
0,0,0,0,0,0,0,0,0,0,11270,1750,0,0,535109,C,2012,,1750,AK01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9520,289804,1000,N00034750,4298,0,0,0,112998,0,AK,01,H2AK00119,0,0,"Cissna, Sharon M.",0,D,0,16329,0,.503235946745562,82927,.286148569377924,1,1,3
0,0,0,0,0,0,0,0,0,0,69852,41769,0,0,475854,C,2010,,43569,OH17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26283,190666,0,N00032092,43770,0,0,0,,0,OH,17,H0OH17145,0,0,"Graham, Jim",0,R,12,1,2474,1,57352,.300798254539352,2,1,2
1,0,0,0,0,0,0,45,550,9825,1581286,1208379,0,1,524898,C,2010,,1433392,OH15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14573,23422,44718,147894,220596,1159392,N00029574,1429937,1170281,846907,319979,,42720,OH,15,H8OH15076,0,0,"Stivers, Steve",0,R,54586,1,137896,1,119471,.541582802952003,2,1,2
0,0,0,0,0,0,0,0,0,0,19606,1250,0,0,501678,C,2008,,14800,NC12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806,301722,3300,N00029868,14800,3300,2205,1095,,0,NC,12,H8NC12093,0,0,"Cobb, Ty, Jr.",0,R,0,1,0,1,85814,.284414129562975,2,1,1
1,0,0,0,0,1,1,1894724,1161831,3094107,1985741,694796,0,1,517890,C,2012,,1187899,NH02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509082,1282132,50197,797842,337394,578635,N00030875,1779331,560669,239587,313653,89714,1798267,NH,02,H0NH02181,0,0,"Kuster, Ann McLane",0,D,129038,40627,531136,.991773264329655,169275,.501713130642513,1,1,3
0,0,0,0,0,0,0,0,0,0,7949,3450,0,0,499408,C,2010,,4200,PA02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3749,204707,7050,N00032007,4300,6600,4198,2397,,0,PA,02,H0PA02075,0,0,"Hellberg, Rick",0,R,0,1,0,1,21907,.107016369738211,2,1,2
0,0,0,0,0,0,0,0,0,0,30785,9215,0,0,551897,C,2008,,10065,WA07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20720,349017,1087,N00028494,11351,1000,196,804,129161,0,WA,07,H6WA07391,0,0,"Beren, Steve",0,R,0,19307,0,.149480106224015,57054,.163470547279932,2,1,1
0,0,0,0,0,0,1,0,0,0,322760,127058,0,0,553160,C,2012,,207518,OH05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,115242,351878,64487,N00033873,294552,56281,8627,47044,118480,0,OH,05,H2OH05021,0,0,"Zimmann, Angela",0,D,132,25530,602,1,137806,.391630053598122,1,1,3
0,0,0,0,0,0,0,0,0,0,234613,88194,0,0,575349,C,2012,,104894,ID02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129719,318494,35870,N00034508,184555,27500,2514,24912,85564,0,ID,02,H2ID02133,0,0,"LeFavour, Nicole",0,D,0,10528,0,.840558882235529,110847,.348034813842647,1,1,3
0,0,0,0,0,0,0,0,0,0,74570,55600,0,0,535398,C,2010,,65450,MD02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9120,208904,7000,N00032273,66650,7000,6442,558,,0,MD,02,H0MD02149,0,0,"Cardarelli, Marcelo",0,R,0,1,0,1,69523,.332798797533795,2,1,2
0,0,0,0,0,0,0,0,0,0,4894,850,1,0,487526,C,2008,,1350,OH08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544,297573,11219,N00029724,1945,5000,59,4941,117873,0,OH,08,H8OH08063,0,0,"Von Stein, Nicholas A.",0,D,0,52602,0,1,95510,.3209632594355,1,1,1
0,0,0,0,0,0,0,0,0,0,22559,10500,0,0,473237,C,2008,,10500,CA17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12059,228626,0,N00029313,30100,0,0,0,76245,0,CA,17,H8CA17089,0,0,"Taylor, Jeff",0,R,0,23188,0,1,59037,.258225223727835,2,1,1
1,0,0,0,0,0,0,276158,171998,752968,598166,421143,0,1,498259,C,2010,,510643,PA03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786676,200154,63074,87523,200833,281800,N00031647,513456,271850,208586,62697,,990116,PA,03,H0PA03271,0,0,"Kelly, Mike ",0,R,54958,1,138958,1,111909,.557224161367903,2,1,2
0,0,0,0,0,1,1,33388,61466,389319,1320298,912951,0,0,484512,C,2010,,1048067,MO03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11984,19648,272231,203085,92469,N00030940,1175280,142711,92179,49981,,11984,MO,03,H0MO03112,0,0,"Martin, Ed ",0,R,2172,1,123854,1,94757,.466587881921363,2,1,2
1,0,0,0,1,1,1,324273,145464,470735,1009644,407652,1,1,511254,C,2008,,547824,NY29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223497,388661,200005,461820,275755,617635,N00027550,1013487,625576,298954,324579,,614768,NY,29,H6NY29168,0,0,"Massa, Eric J. J.",0,D,378743,1,592478,1,140529,.509615419484687,1,1,1
0,0,0,0,0,0,0,0,0,0,25700,8963,1,0,572026,C,2012,,15863,VA03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9837,318936,750,N00034156,16963,0,0,0,,0,VA,03,H2VA03054,0,0,"Longo, Dean J.",0,R,0,1,0,1,58931,.18477374771114,2,1,3
0,0,0,0,0,0,0,0,0,0,48747,35013,1,0,579634,C,2012,,35563,MA09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13184,362405,3625,N00034046,39259,1500,0,0,74950,0,MA,09,H2MA09189,0,0,"Sheldon, Christopher",0,R,0,11046,0,.505838714109081,116531,.32154909562506,2,1,3
0,0,0,0,0,0,0,0,0,0,79044,30660,1,0,576982,C,2010,,40860,CO06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38184,331037,51500,N00030639,56032,50000,11611,38381,,0,CO,06,H0CO06077,0,0,"Flerlage, John",0,D,0,1,3267,1,104159,.31464458655679,1,1,2
0,0,0,0,0,0,0,0,0,0,88497,52276,1,0,580150,C,2008,,76476,GA06,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12021,338071,52200,N00030155,77426,50600,5436,45144,41877,0,GA,06,H8GA06161,0,0,"Jones, Bill",0,D,0,10920,0,1,106551,.315173439898719,1,1,1
0,0,0,0,0,0,0,0,0,0,162790,59232,1,0,435523,C,2010,,92968,IA05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69822,195239,47455,N00031611,98730,44300,8585,35631,,0,IA,05,H0IA05092,0,0,"Campbell, Matthew ",0,D,0,1,245,1,63160,.323500939873693,1,1,2
0,0,0,0,0,0,0,0,0,0,1335,,1,0,532102,C,2012,,,WA09,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,268139,0,N00030380,483,0,0,0,119143,0,WA,09,H8WA09047,0,0,"Postma, Jim",0,R,0,27616,0,.23178869090085,76105,.28382667198729,2,1,3
